id,key,value,type
17327106,name,Aurobindo Circle,regular
17327106,highway,traffic_signals,regular
17327106,kn,\xe0\xb2\x85\xe0\xb2\xb0\xe0\xb2\xb5\xe0\xb2\xbf\xe0\xb2\x82\xe0\xb2\xa6 \xe0\xb2\xb5\xe0\xb3\x83\xe0\xb2\xa4\xe0\xb3\x8d\xe0\xb2\xa4,name
17327417,name,Escorts Yalahanka Road,regular
17327417,highway,bus_stop,regular
17327417,local_ref,YELAHANKA,regular
26529522,highway,traffic_signals,regular
26529553,highway,traffic_signals,regular
26529553,crossing,traffic_signals,regular
26529567,created_by,JOSM,regular
26529603,created_by,JOSM,regular
26529605,created_by,JOSM,regular
26529606,created_by,JOSM,regular
26529608,created_by,JOSM,regular
26529612,created_by,JOSM,regular
26529613,created_by,JOSM,regular
26529615,created_by,JOSM,regular
26529616,created_by,JOSM,regular
26529620,created_by,JOSM,regular
26529621,created_by,JOSM,regular
26529622,created_by,JOSM,regular
26529623,created_by,JOSM,regular
26529624,created_by,JOSM,regular
26529625,created_by,JOSM,regular
26529626,created_by,JOSM,regular
26529627,created_by,JOSM,regular
26529628,created_by,JOSM,regular
26529634,created_by,JOSM,regular
26529640,created_by,JOSM,regular
26529641,created_by,JOSM,regular
26529642,created_by,JOSM,regular
26529643,created_by,JOSM,regular
26529644,created_by,JOSM,regular
60952254,name,Prof Ashirvadam Junction,regular
60952254,highway,traffic_signals,regular
60952254,junction,yes,regular
60952260,name,Shoolay Circle,regular
60952260,highway,traffic_signals,regular
60952260,kn,\xe0\xb2\xb6\xe0\xb3\x82\xe0\xb2\xb2\xe0\xb3\x86 \xe0\xb2\xb5\xe0\xb3\x83\xe0\xb2\xa4\xe0\xb3\x8d\xe0\xb2\xa4,name
60952260,alt_name,Vellara Junction,regular
60952260,junction,yes,regular
60952288,highway,traffic_signals,regular
60952288,crossing,traffic_signals,regular
60952290,created_by,JOSM,regular
60952292,created_by,JOSM,regular
60952294,highway,traffic_signals,regular
61746217,highway,traffic_signals,regular
61748543,highway,traffic_signals,regular
61748553,highway,traffic_signals,regular
61748555,highway,traffic_signals,regular
62053599,name,Papareddy Palya,regular
62053599,highway,bus_stop,regular
62053599,kn,\xe0\xb2\xaa\xe0\xb2\xbe\xe0\xb2\xaa\xe0\xb2\xb0\xe0\xb3\x86\xe0\xb2\xa1\xe0\xb3\x8d\xe0\xb2\xa1\xe0\xb2\xbf \xe0\xb2\xaa\xe0\xb2\xbe\xe0\xb2\xb3\xe0\xb3\x8d\xe0\xb2\xaf,name
62053620,name,Aladamara,regular
62053620,highway,bus_stop,regular
62053620,kn,\xe0\xb2\x86\xe0\xb2\xb2\xe0\xb2\xa6\xe0\xb2\xae\xe0\xb2\xb0,name
62053620,local_ref,PAPAREDDY PALYA,regular
62053636,name,Nagarabhavi BDA Complex,regular
62053636,highway,bus_stop,regular
62053636,local_ref,NAGARABHAVI 2ND STAGE,regular
62053719,name,Papareddy Palya,regular
62053719,highway,bus_stop,regular
62053719,kn,\xe0\xb2\xaa\xe0\xb2\xbe\xe0\xb2\xaa\xe0\xb2\xb0\xe0\xb3\x86\xe0\xb2\xa1\xe0\xb3\x8d\xe0\xb2\xa1\xe0\xb2\xbf \xe0\xb2\xaa\xe0\xb2\xbe\xe0\xb2\xb3\xe0\xb3\x8d\xe0\xb2\xaf,name
62053750,name,Aladamara,regular
62053750,highway,bus_stop,regular
62053750,kn,\xe0\xb2\x86\xe0\xb2\xb2\xe0\xb2\xa6\xe0\xb2\xae\xe0\xb2\xb0,name
62053750,local_ref,PAPAREDDY PALYA,regular
62053772,name,Nagarabhavi BDA Complex,regular
62053772,highway,bus_stop,regular
62053772,local_ref,NAGARABHAVI 2ND STAGE,regular
62056921,name,Nagarabhavi 9th Block,regular
62056921,highway,bus_stop,regular
62056953,name,NGF Layout,regular
62056953,highway,bus_stop,regular
62056953,local_ref,NGEF LAYOUT,regular
62056965,name,Vinayaka Layout Bus Stop,regular
62056965,highway,bus_stop,regular
62056980,name,ambedkar college stop,regular
62056980,highway,bus_stop,regular
62056980,kn,\xe0\xb2\x85\xe0\xb2\x82\xe0\xb2\xac\xe0\xb3\x87\xe0\xb2\xa1\xe0\xb3\x8d\xe0\xb2\x95\xe0\xb2\xb0\xe0\xb3\x8d \xe0\xb2\x95\xe0\xb2\xbe\xe0\xb2\xb2\xe0\xb3\x87\xe0\xb2\x9c\xe0\xb3\x81,name
62056980,operator,my college rote,regular
62056980,local_ref,80FEET Mallathahalli Road,regular
62067292,highway,traffic_signals,regular
62067292,crossing,traffic_signals,regular
66626034,name,Mallathalli Cross,regular
66626034,highway,bus_stop,regular
66626034,kn,\xe0\xb2\xae\xe0\xb2\xb2\xe0\xb3\x8d\xe0\xb2\xb2\xe0\xb2\xa4\xe0\xb3\x8d\xe0\xb2\xa4\xe0\xb2\xb9\xe0\xb2\xb3\xe0\xb3\x8d\xe0\xb2\xb3\xe0\xb2\xbf,name
66626048,name,University Quarters,regular
66626048,highway,bus_stop,regular
66626048,local_ref,JNANAJYOTHI NAGARA,regular
66626086,name,Mariyappana Palya,regular
66626086,highway,bus_stop,regular
66626086,kn,\xe0\xb2\xae\xe0\xb2\xb0\xe0\xb2\xbf\xe0\xb2\xaf\xe0\xb2\xaa\xe0\xb3\x8d\xe0\xb2\xaa\xe0\xb2\xa8 \xe0\xb2\xaa\xe0\xb2\xbe\xe0\xb2\xb3\xe0\xb3\x8d\xe0\xb2\xaf,name
66626102,name,Kenchapura Cross,regular
66626102,highway,bus_stop,regular
66626164,name,Shirke KHB Quarters,regular
66626164,highway,bus_stop,regular
66626164,local_ref,KENGERI UPANAGARA,regular
66666495,name,Ganesha Temple,regular
66666495,highway,bus_stop,regular
66666495,kn,\xe0\xb2\x97\xe0\xb2\xa3\xe0\xb3\x87\xe0\xb2\xb6 \xe0\xb2\xa6\xe0\xb3\x87\xe0\xb2\xb5\xe0\xb2\xb8\xe0\xb3\x8d\xe0\xb2\xa5\xe0\xb2\xbe\xe0\xb2\xa8,name
66666495,shelter,no,regular
66666495,local_ref,KENGERI,regular
66666554,name,BMTC Depot-12 Gate,regular
66666554,highway,bus_stop,regular
66666554,local_ref,Kengeri,regular
66666667,name,Ramohalli Cross,regular
66666667,junction,yes,regular
66676907,name,Swaminarayana Gurukul,regular
66676907,highway,bus_stop,regular
66676907,kn,\xe0\xb2\xb8\xe0\xb3\x8d\xe0\xb2\xb5\xe0\xb2\xbe\xe0\xb2\xae\xe0\xb2\xbf\xe0\xb2\xa8\xe0\xb2\xbe\xe0\xb2\xb0\xe0\xb2\xbe\xe0\xb2\xaf\xe0\xb2\xa3 \xe0\xb2\x97\xe0\xb3\x81\xe0\xb2\xb0\xe0\xb3\x81\xe0\xb2\x95\xe0\xb3\x81\xe0\xb2\xb2,name
66677026,name,Veeranjaneya Temple,regular
66677026,highway,bus_stop,regular
66677026,kn,\xe0\xb2\xb5\xe0\xb3\x80\xe0\xb2\xb0\xe0\xb2\xbe\xe0\xb2\x82\xe0\xb2\x9c\xe0\xb2\xa8\xe0\xb3\x87\xe0\xb2\xaf \xe0\xb2\xa6\xe0\xb3\x87\xe0\xb2\xb5\xe0\xb2\xb8\xe0\xb3\x8d\xe0\xb2\xa4\xe0\xb2\xbe\xe0\xb2\xa8,name
66677026,local_ref,Mysore Road,regular
66677040,name,Lakshmisagar Gate,regular
66677040,highway,bus_stop,regular
66677040,local_ref,LAKSHMISAGARA,regular
66677130,highway,bus_stop,regular
66677130,local_ref,Bidadi,regular
66677130,name,Railway Station,regular
66677130,kn,\xe0\xb2\xb0\xe0\xb3\x88\xe0\xb2\xb2\xe0\xb3\x81 \xe0\xb2\xa8\xe0\xb2\xbf\xe0\xb2\xb2\xe0\xb3\x8d\xe0\xb2\xa6\xe0\xb2\xbe\xe0\xb2\xa3,name
158687972,name,H Siddiah Circle,regular
158687972,highway,traffic_signals,regular
158687972,junction,yes,regular
176470763,name,Seeta Circle,regular
176470763,highway,traffic_signals,regular
176470763,kn,\xe0\xb2\xb8\xe0\xb3\x80\xe0\xb2\xa4\xe0\xb2\xbe \xe0\xb2\xb5\xe0\xb2\xb0\xe0\xb3\x8d\xe0\xb2\xa4,name
176470763,designation,Seetha Circle,regular
245609946,source,AND,regular
245610011,source,AND,regular
245610027,source,AND,regular
245610205,source,AND,regular
245610527,source,AND,regular
245610655,source,AND,regular
245611121,source,AND,regular
245611810,source,AND,regular
245611843,source,AND,regular
245611934,source,AND,regular
245612139,name,Sarjapura,regular
245612139,place,town,regular
245612139,kn,\xe0\xb2\xb8\xe0\xb2\xb0\xe0\xb3\x8d\xe0\xb2\x9c\xe0\xb2\xbe\xe0\xb2\xaa\xe0\xb3\x81\xe0\xb2\xb0,name
245612139,wikidata,Q7424146,regular
245612139,wikipedia,en:Sarjapura,regular
245612139,postal_code,562125,regular
245613758,source,AND,regular
245614119,source,AND,regular
245614692,crossing,traffic_signals,regular
245614692,highway,traffic_signals,regular
245617178,source,AND,regular
245617354,source,AND,regular
245617413,source,AND,regular
245617437,source,AND,regular
245619084,source,AND,regular
246171012,highway,traffic_signals,regular
246171013,name,Townhall Junction,regular
246171013,highway,traffic_signals,regular
246171013,junction,yes,regular
246171016,highway,traffic_signals,regular
246171016,crossing,traffic_signals,regular
246396993,ref,SBC:1,regular
246396993,public_transport,stop_position,regular
246397026,ref,BNC,regular
246397026,name,Bangalore Cantonment,regular
246397026,kn,\xe0\xb2\xac\xe0\xb3\x86\xe0\xb2\x82\xe0\xb2\x97\xe0\xb2\xb3\xe0\xb3\x82\xe0\xb2\xb0\xe0\xb3\x81 (\xe0\xb2\x95\xe0\xb2\x82\xe0\xb2\x9f\xe0\xb3\x8a\xe0\xb2\xa8\xe0\xb3\x8d\xe0\xb2\xae\xe0\xb3\x86\xe0\xb2\x82\xe0\xb2\x9f\xe0\xb3\x8d),name
246397026,railway,station,regular
246397026,wikidata,Q17049564,regular
246397026,wikipedia,en:Bangalore Cantonment railway station,regular
246397026,wheelchair,yes,regular
246397920,name,Siddalingaiah Circle,regular
246397920,kn,\xe0\xb2\xb8\xe0\xb2\xbf\xe0\xb2\xa6\xe0\xb3\x8d\xe0\xb2\xa6\xe0\xb2\xb2\xe0\xb2\xbf\xe0\xb2\x82\xe0\xb2\x97\xe0\xb2\xaf\xe0\xb3\x8d\xe0\xb2\xaf \xe0\xb2\xb5\xe0\xb2\xb0\xe0\xb3\x8d\xe0\xb2\xa4,name
246397920,junction,yes,regular
246397923,highway,traffic_signals,regular
246397923,name,No Right Turn to Lavelle Road,regular
246472362,created_by,JOSM,regular
247850505,barrier,gate,regular
247852826,highway,traffic_signals,regular
247852915,name,Hulimavu Police Station Cross,regular
247852915,highway,traffic_signals,regular
247860622,created_by,JOSM,regular
247860625,created_by,JOSM,regular
247860627,created_by,JOSM,regular
247860629,created_by,JOSM,regular
247862500,created_by,JOSM,regular
247862506,created_by,JOSM,regular
247862510,created_by,JOSM,regular
247960468,created_by,JOSM,regular
247960469,created_by,JOSM,regular
247960470,created_by,JOSM,regular
247960471,created_by,JOSM,regular
247960472,created_by,JOSM,regular
247960473,created_by,JOSM,regular
247960474,created_by,JOSM,regular
247960475,created_by,JOSM,regular
247960476,created_by,JOSM,regular
247960477,created_by,JOSM,regular
247960478,created_by,JOSM,regular
247960479,created_by,JOSM,regular
247960480,created_by,JOSM,regular
247960481,created_by,JOSM,regular
247960482,created_by,JOSM,regular
247960483,created_by,JOSM,regular
247960484,created_by,JOSM,regular
247960485,created_by,JOSM,regular
247960486,created_by,JOSM,regular
247960487,created_by,JOSM,regular
247960488,created_by,JOSM,regular
247960489,created_by,JOSM,regular
247960490,created_by,JOSM,regular
247960491,created_by,JOSM,regular
247960492,created_by,JOSM,regular
247960493,created_by,JOSM,regular
247960494,created_by,JOSM,regular
247960495,created_by,JOSM,regular
247960496,created_by,JOSM,regular
247960497,created_by,JOSM,regular
247960498,created_by,JOSM,regular
247960499,created_by,JOSM,regular
247960500,created_by,JOSM,regular
247960501,created_by,JOSM,regular
247960502,created_by,JOSM,regular
247960503,created_by,JOSM,regular
247960505,created_by,JOSM,regular
247960506,created_by,JOSM,regular
247960507,created_by,JOSM,regular
247960508,created_by,JOSM,regular
247960509,created_by,JOSM,regular
247960510,created_by,JOSM,regular
247960511,created_by,JOSM,regular
247960512,created_by,JOSM,regular
247960513,created_by,JOSM,regular
247964190,created_by,JOSM,regular
247964199,created_by,JOSM,regular
247964200,created_by,JOSM,regular
247964201,created_by,JOSM,regular
247964202,created_by,JOSM,regular
247964203,created_by,JOSM,regular
247964204,created_by,JOSM,regular
247964205,created_by,JOSM,regular
247964206,created_by,JOSM,regular
247964207,created_by,JOSM,regular
247964208,created_by,JOSM,regular
247964209,created_by,JOSM,regular
247964210,created_by,JOSM,regular
247964211,created_by,JOSM,regular
247964212,created_by,JOSM,regular
247964231,created_by,JOSM,regular
247964243,created_by,JOSM,regular
247964244,created_by,JOSM,regular
247964245,created_by,JOSM,regular
247964246,created_by,JOSM,regular
247964249,created_by,JOSM,regular
247964251,created_by,JOSM,regular
247964253,created_by,JOSM,regular
247964254,created_by,JOSM,regular
247964256,created_by,JOSM,regular
247964328,amenity,post_office,regular
247964328,name,IIMB post office - Bilekahalli,regular
247964328,kn,\xe0\xb2\x90\xe0\xb2\x90\xe0\xb2\x8e\xe0\xb2\x82\xe0\xb2\xac\xe0\xb2\xbf \xe0\xb2\x85\xe0\xb2\x82\xe0\xb2\x9a\xe0\xb3\x86 \xe0\xb2\x95\xe0\xb2\x9b\xe0\xb3\x87\xe0\xb2\xb0\xe0\xb2\xbf - \xe0\xb2\xac\xe0\xb2\xbf\xe0\xb2\xb2\xe0\xb3\x86\xe0\xb2\x95\xe0\xb3\x86\xe0\xb2\xb9\xe0\xb2\xb3\xe0\xb3\x8d\xe0\xb2\xb3\xe0\xb2\xbf,name
247964328,postal_code,560076,regular
247964650,created_by,JOSM,regular
247964651,created_by,JOSM,regular
247964654,created_by,JOSM,regular
247964655,created_by,JOSM,regular
247964656,created_by,JOSM,regular
247964657,created_by,JOSM,regular
247964660,created_by,JOSM,regular
247964661,created_by,JOSM,regular
247964662,created_by,JOSM,regular
247964663,created_by,JOSM,regular
247964665,created_by,JOSM,regular
247964667,created_by,JOSM,regular
247964668,created_by,JOSM,regular
247964669,created_by,JOSM,regular
247964670,created_by,JOSM,regular
247964671,created_by,JOSM,regular
247964672,created_by,JOSM,regular
247964673,created_by,JOSM,regular
247964674,created_by,JOSM,regular
247964675,created_by,JOSM,regular
247964676,created_by,JOSM,regular
247964677,created_by,JOSM,regular
247964678,created_by,JOSM,regular
247964679,created_by,JOSM,regular
247964680,created_by,JOSM,regular
247964681,created_by,JOSM,regular
247964687,highway,mini_roundabout,regular
247964964,atm,yes,regular
247964964,name,State Bank of India,regular
247964964,branch,IIMB branch,regular
247964964,amenity,bank,regular
247964964,kn,\xe0\xb2\xad\xe0\xb2\xbe\xe0\xb2\xb0\xe0\xb2\xa4\xe0\xb3\x80\xe0\xb2\xaf \xe0\xb2\xb8\xe0\xb3\x8d\xe0\xb2\x9f\xe0\xb3\x87\xe0\xb2\x9f\xe0\xb3\x8d \xe0\xb2\xac\xe0\xb3\x8d\xe0\xb2\xaf\xe0\xb2\xbe\xe0\xb2\x82\xe0\xb2\x95\xe0\xb3\x8d,name
247964964,wikipedia,en:State Bank of India,regular
247964964,short_name,SBI,regular
247964964,wikidata,Q1340361,brand
247964989,name,IIMB Basket Ball Ground,regular
247964989,sport,basketball,regular
247964989,created_by,JOSM,regular
247965097,created_by,JOSM,regular
247965098,created_by,JOSM,regular
247965099,created_by,JOSM,regular
247965112,created_by,JOSM,regular
247965113,created_by,JOSM,regular
247965114,created_by,JOSM,regular
247965115,created_by,JOSM,regular
247965117,created_by,JOSM,regular
247965118,created_by,JOSM,regular
247965119,created_by,JOSM,regular
247965120,created_by,JOSM,regular
247965121,created_by,JOSM,regular
247965122,created_by,JOSM,regular
247965123,created_by,JOSM,regular
247965124,created_by,JOSM,regular
247965125,created_by,JOSM,regular
247965126,created_by,JOSM,regular
247965127,created_by,JOSM,regular
247965128,created_by,JOSM,regular
247965129,created_by,JOSM,regular
247965130,created_by,JOSM,regular
247965131,created_by,JOSM,regular
247965132,created_by,JOSM,regular
247965133,created_by,JOSM,regular
247965134,created_by,JOSM,regular
247965135,created_by,JOSM,regular
247965136,created_by,JOSM,regular
247965137,created_by,JOSM,regular
247965138,created_by,JOSM,regular
247966023,created_by,JOSM,regular
247966063,created_by,JOSM,regular
247966064,created_by,JOSM,regular
247966065,created_by,JOSM,regular
247966066,created_by,JOSM,regular
247966067,created_by,JOSM,regular
247966068,created_by,JOSM,regular
247966069,created_by,JOSM,regular
247966070,created_by,JOSM,regular
247966071,created_by,JOSM,regular
247966072,created_by,JOSM,regular
247966073,created_by,JOSM,regular
247966074,created_by,JOSM,regular
247966076,created_by,JOSM,regular
247966084,created_by,JOSM,regular
247966086,created_by,JOSM,regular
247966088,created_by,JOSM,regular
247966145,created_by,JOSM,regular
247966147,created_by,JOSM,regular
247966148,created_by,JOSM,regular
247966153,created_by,JOSM,regular
247966154,created_by,JOSM,regular
247966188,created_by,JOSM,regular
247966224,created_by,JOSM,regular
247966309,created_by,JOSM,regular
247966310,created_by,JOSM,regular
247966344,created_by,JOSM,regular
247966346,created_by,JOSM,regular
247966479,leisure,park,regular
247966479,created_by,Potlatch 0.7,regular
247966744,created_by,JOSM,regular
247966749,created_by,JOSM,regular
247966752,created_by,JOSM,regular
247966757,created_by,JOSM,regular
247966760,created_by,JOSM,regular
247966762,created_by,JOSM,regular
247966765,created_by,JOSM,regular
247966767,created_by,JOSM,regular
247966774,created_by,JOSM,regular
247966797,created_by,JOSM,regular
247966804,created_by,JOSM,regular
247966855,amenity,school,regular
247967283,created_by,JOSM,regular
247967847,created_by,JOSM,regular
247967849,created_by,JOSM,regular
247967856,created_by,JOSM,regular
247967861,created_by,JOSM,regular
247968089,created_by,JOSM,regular
247968091,created_by,JOSM,regular
247968093,created_by,JOSM,regular
247968096,created_by,JOSM,regular
247968098,created_by,JOSM,regular
247968101,created_by,JOSM,regular
247968559,created_by,JOSM,regular
247968561,created_by,JOSM,regular
247968564,created_by,JOSM,regular
247968566,created_by,JOSM,regular
247968576,created_by,JOSM,regular
247968578,created_by,JOSM,regular
247968584,created_by,JOSM,regular
247968591,created_by,JOSM,regular
247968594,created_by,JOSM,regular
247968596,created_by,JOSM,regular
247968599,created_by,JOSM,regular
247968602,created_by,JOSM,regular
247968984,created_by,JOSM,regular
247969006,created_by,JOSM,regular
247969013,created_by,JOSM,regular
247969188,created_by,JOSM,regular
247970735,created_by,JOSM,regular
247970737,created_by,JOSM,regular
247970740,created_by,JOSM,regular
247970742,created_by,JOSM,regular
247972974,highway,traffic_signals,regular
247973063,created_by,JOSM,regular
247973074,created_by,JOSM,regular
247973081,created_by,JOSM,regular
247973084,created_by,JOSM,regular
247973086,created_by,JOSM,regular
247973102,created_by,JOSM,regular
247973288,name,Snack Corner,regular
247973288,amenity,restaurant,regular
247973288,street,Bannerghatta Road,addr
247973578,tourism,hostel,regular
247974102,name,Athicas Canteen,regular
247974102,amenity,fast_food,regular
247974102,created_by,JOSM,regular
247974238,name,Chai-Unchai,regular
247974238,amenity,cafe,regular
247974238,created_by,JOSM,regular
247974980,highway,traffic_signals,regular
247976436,amenity,restaurant,regular
247976436,created_by,JOSM,regular
247982353,street,Bannerghatta Road,addr
247983311,created_by,JOSM,regular
247983314,created_by,JOSM,regular
247983360,created_by,JOSM,regular
247983381,created_by,JOSM,regular
247983383,created_by,JOSM,regular
247983398,created_by,JOSM,regular
247983406,created_by,JOSM,regular
247983409,created_by,JOSM,regular
247983699,created_by,JOSM,regular
247983714,created_by,JOSM,regular
247984424,created_by,JOSM,regular
247984425,created_by,JOSM,regular
247984564,created_by,JOSM,regular
247984806,created_by,JOSM,regular
247984812,created_by,JOSM,regular
247984992,name,Adigas,regular
247984992,amenity,restaurant,regular
247984992,cuisine,indian,regular
247984992,kn,\xe0\xb2\x85\xe0\xb2\xa1\xe0\xb2\xbf\xe0\xb2\x97\xe0\xb2\xbe\xe0\xb2\xb8\xe0\xb3\x8d,name
247985016,created_by,JOSM,regular
247985032,created_by,JOSM,regular
247986013,name,Open Air Theatre,regular
247986013,amenity,theatre,regular
247986013,created_by,Potlatch 0.7,regular
247987775,created_by,JOSM,regular
247989014,created_by,JOSM,regular
247989018,created_by,JOSM,regular
247989220,highway,traffic_signals,regular
247989224,highway,traffic_signals,regular
247989224,crossing,traffic_signals,regular
247989946,traffic_calming,bump,regular
247989953,traffic_calming,bump,regular
247991553,name,Sagar Hospital Junction,regular
247991553,highway,traffic_signals,regular
247991553,crossing,traffic_signals,regular
247991562,name,Anepalya,regular
247991562,highway,bus_stop,regular
247991562,kn,\xe0\xb2\x86\xe0\xb2\xa8\xe0\xb3\x86\xe0\xb2\xaa\xe0\xb2\xbe\xe0\xb2\xb3\xe0\xb3\x8d\xe0\xb2\xaf,name
247991563,highway,traffic_signals,regular
248003859,created_by,JOSM,regular
248003860,created_by,JOSM,regular
248003861,created_by,JOSM,regular
248003862,created_by,JOSM,regular
248003863,created_by,JOSM,regular
248128247,name,Haydon Manor,regular
248128247,building,residential,regular
248181109,highway,traffic_signals,regular
248181114,highway,traffic_signals,regular
248455235,created_by,JOSM,regular
248455254,created_by,JOSM,regular
248455255,created_by,JOSM,regular
248455289,created_by,JOSM,regular
248455292,created_by,JOSM,regular
248455298,created_by,JOSM,regular
248455303,created_by,JOSM,regular
248455307,created_by,JOSM,regular
